question,difficulty,avg_llms_fooled,cluster_size,cosine_similarity,euclidean_distance,rouge_l
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Medium,2.0,1,0.7746891379356384,0.6712838411331177,0.24489795918367346
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Easy,1.0,1,0.6981370449066162,0.7769981026649475,0.24489795918367346
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Easy,1.0,1,0.6603043675422668,0.8242520093917847,0.17777777777777776
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Easy,1.0,1,0.7688232660293579,0.6799659729003906,0.22727272727272727
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Medium,2.0,1,0.7427404522895813,0.7172998785972595,0.20833333333333331
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Hard,3.0,1,0.6858339905738831,0.7926740646362305,0.17391304347826086
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Easy,1.0,1,0.680286705493927,0.7996416687965393,0.1276595744680851
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Easy,1.0,1,0.7416173815727234,0.7188639640808105,0.2553191489361702
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Hard,3.0,1,0.6714789867401123,0.810581386089325,0.1818181818181818
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Easy,1.0,1,0.650541365146637,0.8360127806663513,0.17391304347826086
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Easy,1.0,1,0.5337280631065369,0.9656831622123718,0.09302325581395347
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Easy,1.0,1,0.6257549524307251,0.8651533126831055,0.21739130434782608
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Easy,1.0,1,0.5694289207458496,0.927977442741394,0.09302325581395347
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Easy,1.0,1,0.7098717093467712,0.7617457509040833,0.22727272727272727
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Easy,1.0,1,0.6726958155632019,0.8090786933898926,0.26666666666666666
Does mR imaging relaxometry allow noninvasive characterization of in vivo differentiation of muscle precursor cells?,Easy,0.0,1,1.0,0.0,1.0
Does blood PGC-1α Concentration predict Myocardial Salvage and Ventricular Remodeling After ST-segment Elevation Acute Myocardial Infarction?,Hard,2.6,5,0.8852406740188599,0.4709290862083435,0.3367042672925026
Does blood PGC-1α Concentration predict Myocardial Salvage and Ventricular Remodeling After ST-segment Elevation Acute Myocardial Infarction?,Medium,2.0,2,0.8750275373458862,0.49355465173721313,0.38888888888888895
Does blood PGC-1α Concentration predict Myocardial Salvage and Ventricular Remodeling After ST-segment Elevation Acute Myocardial Infarction?,Hard,3.0,1,0.8438916802406311,0.5587636232376099,0.3783783783783784
Does blood PGC-1α Concentration predict Myocardial Salvage and Ventricular Remodeling After ST-segment Elevation Acute Myocardial Infarction?,Hard,3.0,1,0.8026982545852661,0.6281748414039612,0.34285714285714286
Does blood PGC-1α Concentration predict Myocardial Salvage and Ventricular Remodeling After ST-segment Elevation Acute Myocardial Infarction?,Hard,3.0,1,0.9029408693313599,0.4405885636806488,0.4444444444444444
Does blood PGC-1α Concentration predict Myocardial Salvage and Ventricular Remodeling After ST-segment Elevation Acute Myocardial Infarction?,Hard,2.5,2,0.8203119039535522,0.5946527719497681,0.38859180035650626
Does blood PGC-1α Concentration predict Myocardial Salvage and Ventricular Remodeling After ST-segment Elevation Acute Myocardial Infarction?,Hard,3.0,1,0.9503183960914612,0.3152194321155548,0.5853658536585366
Does blood PGC-1α Concentration predict Myocardial Salvage and Ventricular Remodeling After ST-segment Elevation Acute Myocardial Infarction?,Medium,2.0,1,0.8479964733123779,0.5513685345649719,0.3333333333333333
Does blood PGC-1α Concentration predict Myocardial Salvage and Ventricular Remodeling After ST-segment Elevation Acute Myocardial Infarction?,Hard,3.0,1,0.8371603488922119,0.5706833004951477,0.38888888888888895
Does blood PGC-1α Concentration predict Myocardial Salvage and Ventricular Remodeling After ST-segment Elevation Acute Myocardial Infarction?,Easy,0.0,1,1.0000001192092896,0.0,1.0
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Easy,1.0,1,0.6760270595550537,0.8049509525299072,0.1754385964912281
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Easy,1.0,1,0.790424108505249,0.6474195718765259,0.20338983050847456
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Easy,1.0,1,0.6531782150268555,0.8328527212142944,0.13333333333333333
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Easy,1.0,1,0.7202640771865845,0.7479786276817322,0.13559322033898305
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Hard,3.0,2,0.7446459531784058,0.7100495100021362,0.16807909604519775
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Easy,0.5,2,0.6889328956604004,0.7876560091972351,0.17392619479733817
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Hard,3.0,1,0.7563256025314331,0.6981039047241211,0.16129032258064516
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Easy,1.0,1,0.579576849937439,0.9169768691062927,0.07272727272727272
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Easy,1.0,1,0.6686456799507141,0.8140693306922913,0.1724137931034483
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Easy,1.0,1,0.8119250535964966,0.6133106350898743,0.14035087719298245
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Medium,2.0,1,0.6677142381668091,0.8152126669883728,0.1724137931034483
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Hard,3.0,1,0.7259276509284973,0.7403680682182312,0.13559322033898305
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Hard,3.0,1,0.7080432772636414,0.7641424536705017,0.16666666666666669
Does glial cell line-derived neurotrophic factor promote β-catenin phosphorylation and nuclear translocation in glioma cells?,Easy,0.0,1,1.000000238418579,0.0,1.0
Does treatment with egg antigens of Schistosoma mansoni ameliorate experimental colitis in mice through a colonic T-cell-dependent mechanism?,Easy,1.0,2,0.5107660293579102,0.9833899140357971,0.1819121447028424
Does treatment with egg antigens of Schistosoma mansoni ameliorate experimental colitis in mice through a colonic T-cell-dependent mechanism?,Medium,2.0,1,0.7612201571464539,0.691057026386261,0.12500000000000003
Does treatment with egg antigens of Schistosoma mansoni ameliorate experimental colitis in mice through a colonic T-cell-dependent mechanism?,Hard,3.0,1,0.8207066059112549,0.598821222782135,0.27999999999999997
Does treatment with egg antigens of Schistosoma mansoni ameliorate experimental colitis in mice through a colonic T-cell-dependent mechanism?,Easy,0.0,2,0.7483086585998535,0.706440806388855,0.2832151300236406
Does treatment with egg antigens of Schistosoma mansoni ameliorate experimental colitis in mice through a colonic T-cell-dependent mechanism?,Easy,0.0,1,0.6973336935043335,0.7780312299728394,0.08888888888888888
Does treatment with egg antigens of Schistosoma mansoni ameliorate experimental colitis in mice through a colonic T-cell-dependent mechanism?,Medium,2.0,1,0.5475828051567078,0.9512279033660889,0.047619047619047616
Does treatment with egg antigens of Schistosoma mansoni ameliorate experimental colitis in mice through a colonic T-cell-dependent mechanism?,Easy,1.0,4,0.42543840408325195,1.068772315979004,0.1721014492753623
Does treatment with egg antigens of Schistosoma mansoni ameliorate experimental colitis in mice through a colonic T-cell-dependent mechanism?,Medium,2.0,1,0.7239248752593994,0.743068277835846,0.5555555555555556
Does treatment with egg antigens of Schistosoma mansoni ameliorate experimental colitis in mice through a colonic T-cell-dependent mechanism?,Easy,1.0,1,0.6778020858764648,0.8027427792549133,0.163265306122449
Does treatment with egg antigens of Schistosoma mansoni ameliorate experimental colitis in mice through a colonic T-cell-dependent mechanism?,Hard,3.0,2,1.0,6.220817567736958e-07,1.0
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Hard,3.0,1,0.517148494720459,0.9827018976211548,0.15384615384615388
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Easy,1.0,1,0.1862161010503769,1.2757617235183716,0.05263157894736842
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Easy,1.0,2,0.17582687735557556,1.2749454975128174,0.051956815114709856
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Easy,1.0,1,0.2052707076072693,1.260737419128418,0.1
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Medium,2.0,1,0.19052398204803467,1.2723804712295532,0.1111111111111111
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Medium,2.0,1,0.6816388964653015,0.7979487776756287,0.5652173913043479
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Easy,1.0,1,0.16858448088169098,1.2895081043243408,0.15
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Easy,1.0,1,0.17263413965702057,1.2863637208938599,0.0
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Easy,1.0,1,0.18257200717926025,1.27861487865448,0.0975609756097561
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Easy,1.0,1,0.2201422154903412,1.2488857507705688,0.10256410256410257
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Medium,2.0,1,0.19019804894924164,1.2726365327835083,0.05263157894736842
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Medium,2.0,1,0.16042248904705048,1.2958221435546875,0.1
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Medium,2.0,1,0.16938689351081848,1.2888857126235962,0.10256410256410257
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Easy,1.0,1,0.21418443322181702,1.2536472082138062,0.0
Does aminoguanidine inhibit ventricular fibrosis and remodeling process in isoproterenol-induced hypertrophied rat hearts by suppressing ROS and MMPs?,Easy,0.0,1,1.0,0.0,1.0
Is intermediate filament protein nestin expressed in developing meninges?,Easy,0.4,5,0.6672838926315308,0.8145393133163452,0.106674253200569
Is intermediate filament protein nestin expressed in developing meninges?,Easy,0.6666666666666666,3,0.6804264783859253,0.7987468242645264,0.1052753094858358
Is intermediate filament protein nestin expressed in developing meninges?,Easy,0.0,2,0.6302916407585144,0.8597226738929749,0.09387387387387387
Is intermediate filament protein nestin expressed in developing meninges?,Easy,0.0,1,0.5543588399887085,0.9440775513648987,0.08219178082191782
Is intermediate filament protein nestin expressed in developing meninges?,Medium,2.0,1,0.7622079849243164,0.6896260976791382,0.1518987341772152
Is intermediate filament protein nestin expressed in developing meninges?,Medium,2.0,1,0.6690930128097534,0.8135196566581726,0.10810810810810811
Is intermediate filament protein nestin expressed in developing meninges?,Medium,2.0,1,0.6340433359146118,0.8555193543434143,0.08108108108108107
Is intermediate filament protein nestin expressed in developing meninges?,Easy,0.0,1,0.6721007823944092,0.809813916683197,0.10810810810810811
Is intermediate filament protein nestin expressed in developing meninges?,Easy,0.0,1,1.0,0.0,1.0
Do antiphospholipid antibodies correlate with stroke severity and outcome in patients with antiphospholipid syndrome?,Medium,2.0,1,0.43768393993377686,1.0604867935180664,0.1739130434782609
Do antiphospholipid antibodies correlate with stroke severity and outcome in patients with antiphospholipid syndrome?,Medium,2.0,1,0.49291449785232544,1.0070606470108032,0.25
Do antiphospholipid antibodies correlate with stroke severity and outcome in patients with antiphospholipid syndrome?,Medium,2.0,1,0.5122475028038025,0.9876765608787537,0.2608695652173913
Do antiphospholipid antibodies correlate with stroke severity and outcome in patients with antiphospholipid syndrome?,Easy,1.0,1,0.5997209548950195,0.8947392106056213,0.3478260869565218
Do antiphospholipid antibodies correlate with stroke severity and outcome in patients with antiphospholipid syndrome?,Medium,2.0,1,0.5094149112701416,0.9905404448509216,0.0909090909090909
Do antiphospholipid antibodies correlate with stroke severity and outcome in patients with antiphospholipid syndrome?,Medium,2.0,1,0.5344973802566528,0.9648860692977905,0.1818181818181818
Do antiphospholipid antibodies correlate with stroke severity and outcome in patients with antiphospholipid syndrome?,Medium,2.0,4,0.5233111381530762,0.9585883617401123,0.22942193675889325
Do antiphospholipid antibodies correlate with stroke severity and outcome in patients with antiphospholipid syndrome?,Medium,2.0,1,0.6546276211738586,0.8311105370521545,0.36000000000000004
Do antiphospholipid antibodies correlate with stroke severity and outcome in patients with antiphospholipid syndrome?,Medium,1.6666666666666667,3,0.5329535007476807,0.9594095349311829,0.1818181818181818
Do antiphospholipid antibodies correlate with stroke severity and outcome in patients with antiphospholipid syndrome?,Medium,2.0,1,0.496893048286438,1.00310218334198,0.17777777777777776
Do antiphospholipid antibodies correlate with stroke severity and outcome in patients with antiphospholipid syndrome?,Easy,0.0,1,1.0,0.0,1.0
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Medium,2.0,1,0.5806179046630859,0.915840744972229,0.14814814814814814
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Hard,3.0,1,0.5545023679733276,0.9439254999160767,0.12903225806451615
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Easy,1.0,1,0.5190342664718628,0.9807811379432678,0.12903225806451615
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Hard,3.0,1,0.5876702070236206,0.9081077575683594,0.16666666666666669
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Hard,2.5,2,0.5962471961975098,0.8859214782714844,0.2430875576036866
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Easy,1.0,1,0.5450393557548523,0.953898012638092,0.12903225806451615
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Easy,1.0,1,0.5711835026741028,0.9260848164558411,0.21428571428571427
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Easy,1.0,1,0.5647921562194824,0.9329608678817749,0.14285714285714288
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Easy,1.0,2,0.520117998123169,0.9790878891944885,0.14285714285714288
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Hard,3.0,1,0.522476851940155,0.9772647023200989,0.07692307692307691
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Easy,1.0,1,0.5914159417152405,0.9039735794067383,0.3225806451612903
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Hard,3.0,1,0.5883342027664185,0.9073762893676758,0.3225806451612903
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Hard,3.0,1,0.5970373153686523,0.8977335095405579,0.20689655172413796
Do genome-wide ancestry patterns in Rapanui suggest pre-European admixture with Native Americans?,Easy,0.0,1,1.0000001192092896,0.0,1.0
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Hard,3.0,1,0.778022289276123,0.6662998199462891,0.2222222222222222
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Hard,3.0,2,0.7572767734527588,0.6924459338188171,0.18874007936507936
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Medium,2.0,1,0.6079456806182861,0.885499119758606,0.09523809523809523
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Easy,0.0,1,0.7504922747612,0.7064103484153748,0.21875
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Easy,0.0,2,0.8599532842636108,0.5291681885719299,0.6582278481012658
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Medium,2.0,1,0.7338394522666931,0.7296034693717957,0.25
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Medium,2.0,1,0.6906346082687378,0.7865945100784302,0.21538461538461542
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Easy,1.0,1,0.7376682162284851,0.7243366241455078,0.1739130434782609
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Easy,1.0,1,0.8492342829704285,0.5491189360618591,0.4533333333333333
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Hard,3.0,1,0.7837674021720886,0.657620906829834,0.14925373134328357
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Hard,3.0,1,0.7923153638839722,0.6444916129112244,0.24615384615384614
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Easy,1.0,1,0.7335516214370728,0.7299978733062744,0.15384615384615385
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Medium,2.0,1,0.6650098562240601,0.8185232877731323,0.06451612903225806
Do [ Perinatal variables from newborns of Aymara mothers suggest a genetic adaptation to high altitude ]?,Easy,0.0,1,1.0,0.0,1.0
Does microRNA-19a enhance proliferation of bronchial epithelial cells by targeting TGFβR2 gene in severe asthma?,Hard,2.5,2,0.599549412727356,0.8945774435997009,0.07843137254901962
Does microRNA-19a enhance proliferation of bronchial epithelial cells by targeting TGFβR2 gene in severe asthma?,Medium,1.5,2,0.5945249795913696,0.899667501449585,0.04124149659863946
Does microRNA-19a enhance proliferation of bronchial epithelial cells by targeting TGFβR2 gene in severe asthma?,Medium,2.0,1,0.6872133612632751,0.7909318804740906,0.10714285714285712
Does microRNA-19a enhance proliferation of bronchial epithelial cells by targeting TGFβR2 gene in severe asthma?,Easy,1.0,1,0.698436439037323,0.7766126990318298,0.07692307692307691
Does microRNA-19a enhance proliferation of bronchial epithelial cells by targeting TGFβR2 gene in severe asthma?,Hard,3.0,1,0.7229917049407959,0.7443228960037231,0.07547169811320756
Does microRNA-19a enhance proliferation of bronchial epithelial cells by targeting TGFβR2 gene in severe asthma?,Medium,2.0,1,0.7973185181617737,0.6366812586784363,0.14545454545454545
Does microRNA-19a enhance proliferation of bronchial epithelial cells by targeting TGFβR2 gene in severe asthma?,Medium,2.0,1,0.795777440071106,0.6390971541404724,0.1111111111111111
Does microRNA-19a enhance proliferation of bronchial epithelial cells by targeting TGFβR2 gene in severe asthma?,Easy,1.0,2,0.6998003721237183,0.7747496366500854,0.09329140461215933
Does microRNA-19a enhance proliferation of bronchial epithelial cells by targeting TGFβR2 gene in severe asthma?,Medium,2.0,1,0.8209584355354309,0.5984004735946655,0.126984126984127
Does microRNA-19a enhance proliferation of bronchial epithelial cells by targeting TGFβR2 gene in severe asthma?,Hard,3.0,1,0.6320109963417053,0.8578916192054749,0.08000000000000002
Does microRNA-19a enhance proliferation of bronchial epithelial cells by targeting TGFβR2 gene in severe asthma?,Medium,2.0,2,0.577146053314209,0.919623851776123,0.07692307692307691
Does microRNA-19a enhance proliferation of bronchial epithelial cells by targeting TGFβR2 gene in severe asthma?,Easy,0.0,1,1.0,0.0,1.0
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Medium,2.0,1,0.6011347770690918,0.8931577205657959,0.21052631578947367
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Easy,0.0,1,0.6366705894470215,0.8524428606033325,0.2711864406779661
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Medium,1.5,2,0.7752484083175659,0.6687027215957642,0.3928571428571429
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Easy,0.0,1,0.7610743045806885,0.6912679076194763,0.3666666666666667
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Easy,0.0,1,0.6675373315811157,0.8154296278953552,0.21818181818181814
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Easy,0.0,1,0.4588342010974884,1.0403517484664917,0.12244897959183673
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Easy,1.0,1,0.7295819520950317,0.7354155778884888,0.2622950819672132
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Hard,3.0,1,0.7703944444656372,0.6776511669158936,0.2903225806451613
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Easy,1.0,1,0.8210121393203735,0.5983107686042786,0.3793103448275862
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Medium,2.0,1,0.7965739369392395,0.6378495693206787,0.33333333333333337
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Medium,2.0,1,0.8649677038192749,0.519677460193634,0.44827586206896547
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Easy,0.0,1,0.7385189533233643,0.7231611609458923,0.3793103448275862
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Medium,2.0,1,0.7985596656799316,0.6347287893295288,0.3103448275862069
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Easy,1.0,1,0.5014644861221313,0.9985345005989075,0.22641509433962265
Do immunizations with hepatitis B viral antigens and a TLR7/8 agonist adjuvant induce antigen-specific immune responses in HBV-transgenic mice?,Easy,0.0,1,1.0,0.0,1.0
Does blockade of p38 mitogen-activated protein kinase pathway ameliorate delayed gastric emptying in streptozotocin-induced diabetic rats?,Easy,0.6,5,0.8685252070426941,0.5124967694282532,0.3277777777777778
